"","overall.course","overall.instructor","rigor","inspired","clarity","class","level"
"1",3,4,3,4,4,"Regression","Intro"
"2",1,1,2,1,2,"Regression","Intro"
"3",2,2,4,2,2,"Regression","Intro"
"4",4,4,3,3,3,"Regression","Intro"
"5",5,5,5,4,5,"Regression","Intro"
"6",4,1,2,2,2,"Regression","Intro"
"7",5,4,5,5,4,"Regression","Intro"
"8",3,1,1,2,3,"Regression","Intro"
"9",4,3,3,3,3,"Regression","Intro"
"10",2,3,2,2,2,"Regression","Intro"
"11",2,2,3,2,3,"Regression","Intro"
"12",4,4,4,4,4,"Regression","Intro"
"13",4,4,4,3,3,"Regression","Intro"
"14",4,2,2,2,3,"Regression","Intro"
"15",4,4,4,4,4,"Regression","Intro"
"16",2,4,2,2,2,"Regression","Intro"
"17",4,2,2,3,3,"Regression","Intro"
"18",2,1,2,1,2,"Regression","Intro"
"19",2,2,2,4,3,"Regression","Intro"
"20",3,2,3,2,2,"Regression","Intro"
"21",3,2,2,3,2,"Regression","Intro"
"22",4,4,3,3,4,"Regression","Intro"
"23",3,5,4,3,3,"Regression","Intro"
"24",2,3,1,3,2,"Regression","Intro"
"25",2,3,1,3,2,"Regression","Intro"
"26",3,3,3,2,3,"Regression","Intro"
"27",3,3,3,3,5,"Regression","Intro"
"28",2,3,4,3,4,"Regression","Intro"
"29",2,2,3,3,2,"Regression","Intro"
"30",3,3,3,3,3,"Regression","Intro"
"31",2,3,3,3,2,"Regression","Intro"
"32",2,4,4,2,3,"Regression","Intro"
"33",3,5,3,2,3,"Regression","Intro"
"34",2,3,3,3,2,"Regression","Intro"
"35",5,4,4,5,4,"Regression","Intro"
"36",4,2,4,4,4,"Regression","Intro"
"37",4,3,3,3,5,"Regression","Intro"
"38",3,5,5,3,5,"Regression","Intro"
"39",4,4,5,3,5,"Regression","Intro"
"40",2,4,4,4,3,"Regression","Intro"
"41",2,4,2,4,4,"Regression","Intro"
"42",3,4,3,3,3,"Regression","Intro"
"43",2,1,2,0,2,"Regression","Intro"
"44",2,2,3,1,4,"Regression","Intro"
"45",4,4,3,3,3,"Regression","Intro"
"46",1.5,1.5,1.5,1.5,1.5,"Machine Learning","Intro"
"47",1.5,2.5,3.5,1.5,2.5,"Machine Learning","Intro"
"48",2.5,0.5,3.5,1.5,0.5,"Machine Learning","Intro"
"49",0.5,2.5,2.5,2.5,2.5,"Machine Learning","Intro"
"50",2.5,3.5,2.5,2.5,4.5,"Machine Learning","Intro"
"51",2.5,2.5,1.5,2.5,0.5,"Machine Learning","Intro"
"52",1.5,0,0.5,0.5,0.5,"Machine Learning","Intro"
"53",2.5,1.5,2.5,2.5,2.5,"Machine Learning","Intro"
"54",3.5,3.5,2.5,1.5,2.5,"Machine Learning","Intro"
"55",2.5,3.5,3.5,4.5,3.5,"Machine Learning","Intro"
"56",2.5,3.5,1.5,2.5,2.5,"Machine Learning","Intro"
"57",2.5,2.5,1.5,1.5,1.5,"Machine Learning","Intro"
"58",1.5,0.5,0,0.5,1.5,"Machine Learning","Intro"
"59",3.5,2.5,2.5,2.5,2.5,"Machine Learning","Intro"
"60",2.5,1.5,2.5,2.5,2.5,"Machine Learning","Intro"
"61",3.5,3.5,4.5,2.5,2.5,"Machine Learning","Intro"
"62",2.5,2.5,3.5,2.5,2.5,"Machine Learning","Intro"
"63",3.5,2.5,2.5,1.5,1.5,"Machine Learning","Intro"
"64",0.5,1.5,0.5,1.5,1.5,"Machine Learning","Intro"
"65",2.5,2.5,2.5,0.5,3.5,"Machine Learning","Intro"
"66",1.5,3.5,3.5,1.5,2.5,"Machine Learning","Intro"
"67",1.5,0,2.5,1.5,1.5,"Machine Learning","Intro"
"68",3.5,3.5,3.5,3.5,2.5,"Machine Learning","Intro"
"69",4.5,2.5,3.5,3.5,3.5,"Machine Learning","Intro"
"70",1.5,0.5,2.5,0.5,1.5,"Machine Learning","Intro"
"71",3.5,3.5,2.5,2.5,2.5,"Machine Learning","Intro"
"72",1.5,3.5,1.5,2.5,1.5,"Machine Learning","Intro"
"73",1.5,2.5,2.5,2.5,0.5,"Machine Learning","Intro"
"74",2.5,2.5,1.5,2.5,1.5,"Machine Learning","Intro"
"75",4.5,3.5,3.5,2.5,3.5,"Machine Learning","Intro"
"76",3.5,0.5,3.5,2.5,1.5,"Machine Learning","Intro"
"77",1.5,2.5,3.5,2.5,3.5,"Machine Learning","Intro"
"78",3.5,3.5,3.5,3.5,2.5,"Machine Learning","Intro"
"79",3.5,2.5,2.5,3.5,3.5,"Machine Learning","Intro"
"80",3.5,3.5,4.5,2.5,1.5,"Machine Learning","Intro"
"81",1.5,1.5,1.5,0.5,2.5,"Machine Learning","Intro"
"82",3.5,3.5,3.5,3.5,2.5,"Machine Learning","Intro"
"83",1.5,2.5,2.5,1.5,1.5,"Machine Learning","Intro"
"84",2.5,1.5,1.5,1.5,1.5,"Machine Learning","Intro"
"85",1.5,0.5,2.5,2.5,2.5,"Machine Learning","Intro"
"86",2.5,2.5,1.5,3.5,3.5,"Machine Learning","Intro"
"87",2.5,2.5,2.5,3.5,2.5,"Machine Learning","Intro"
"88",3.5,2.5,3.5,1.5,1.5,"Machine Learning","Intro"
"89",2.5,4.5,1.5,2.5,4.5,"Machine Learning","Intro"
"90",2.5,2.5,2.5,0.5,1.5,"Machine Learning","Intro"
"91",5,5,5,4,5,"Regression","Intermediate"
"92",4,4,5,4,4,"Regression","Intermediate"
"93",5,4,5,5,5,"Regression","Intermediate"
"94",5,5,5,5,5,"Regression","Intermediate"
"95",5,5,5,5,5,"Regression","Intermediate"
"96",5,5,5,4,4,"Regression","Intermediate"
"97",5,5,5,5,5,"Regression","Intermediate"
"98",4,4,4,5,5,"Regression","Intermediate"
"99",3,4,3,5,5,"Regression","Intermediate"
"100",5,5,5,5,5,"Regression","Intermediate"
"101",5,5,5,5,5,"Regression","Intermediate"
"102",5,5,5,4,5,"Regression","Intermediate"
"103",5,5,4,3,5,"Regression","Intermediate"
"104",4,4,5,5,5,"Regression","Intermediate"
"105",5,5,5,5,5,"Regression","Intermediate"
"106",5,5,5,5,5,"Regression","Intermediate"
"107",5,5,5,5,5,"Regression","Intermediate"
"108",5,5,5,5,5,"Regression","Intermediate"
"109",4,3,5,4,4,"Regression","Intermediate"
"110",5,4,5,5,5,"Regression","Intermediate"
"111",4,5,5,5,5,"Regression","Intermediate"
"112",5,5,5,5,5,"Regression","Intermediate"
"113",5,5,5,5,5,"Regression","Intermediate"
"114",5,5,5,5,5,"Regression","Intermediate"
"115",2,5,4,4,4,"Regression","Intermediate"
"116",5,5,5,5,5,"Regression","Intermediate"
"117",5,5,5,5,5,"Regression","Intermediate"
"118",5,4,5,5,5,"Regression","Intermediate"
"119",5,5,5,5,5,"Regression","Intermediate"
"120",5,4,4,5,4,"Regression","Intermediate"
"121",5,5,5,5,4,"Regression","Intermediate"
"122",5,4,5,5,5,"Regression","Intermediate"
"123",5,5,5,5,5,"Regression","Intermediate"
"124",3,3,5,4,5,"Regression","Intermediate"
"125",5,5,5,5,4,"Regression","Intermediate"
"126",4,5,4,4,4,"Regression","Intermediate"
"127",5,5,3,5,4,"Regression","Intermediate"
"128",5,5,5,5,5,"Regression","Intermediate"
"129",4,5,4,5,3,"Regression","Intermediate"
"130",5,5,5,5,4,"Regression","Intermediate"
"131",5,4,5,5,5,"Regression","Intermediate"
"132",5,5,5,4,4,"Regression","Intermediate"
"133",5,5,5,4,5,"Regression","Intermediate"
"134",4,4,4,4,5,"Regression","Intermediate"
"135",5,5,5,5,5,"Regression","Intermediate"
"136",0.5,1.5,3.5,0.5,1.5,"Machine Learning","Intermediate"
"137",1.5,3.5,1.5,0.5,1.5,"Machine Learning","Intermediate"
"138",2.5,2.5,3.5,3.5,3.5,"Machine Learning","Intermediate"
"139",1.5,1.5,1.5,0,0.5,"Machine Learning","Intermediate"
"140",2.5,1.5,0.5,1.5,1.5,"Machine Learning","Intermediate"
"141",2.5,2.5,2.5,1.5,1.5,"Machine Learning","Intermediate"
"142",1.5,1.5,0,1.5,0.5,"Machine Learning","Intermediate"
"143",1.5,0.5,1.5,1.5,1.5,"Machine Learning","Intermediate"
"144",0.5,0,0.5,0,0,"Machine Learning","Intermediate"
"145",0.5,1.5,3.5,1.5,0.5,"Machine Learning","Intermediate"
"146",2.5,1.5,1.5,2.5,2.5,"Machine Learning","Intermediate"
"147",1.5,1.5,1.5,1.5,2.5,"Machine Learning","Intermediate"
"148",0.5,1.5,1.5,1.5,0.5,"Machine Learning","Intermediate"
"149",1.5,1.5,1.5,3.5,1.5,"Machine Learning","Intermediate"
"150",2.5,1.5,1.5,1.5,1.5,"Machine Learning","Intermediate"
"151",1.5,2.5,3.5,2.5,2.5,"Machine Learning","Intermediate"
"152",0,0.5,0.5,1.5,0.5,"Machine Learning","Intermediate"
"153",3.5,2.5,2.5,4.5,3.5,"Machine Learning","Intermediate"
"154",2.5,0.5,1.5,2.5,1.5,"Machine Learning","Intermediate"
"155",0.5,1.5,1.5,2.5,2.5,"Machine Learning","Intermediate"
"156",1.5,3.5,1.5,1.5,1.5,"Machine Learning","Intermediate"
"157",1.5,0.5,1.5,1.5,2.5,"Machine Learning","Intermediate"
"158",2.5,1.5,1.5,3.5,1.5,"Machine Learning","Intermediate"
"159",1.5,2.5,1.5,1.5,0.5,"Machine Learning","Intermediate"
"160",2.5,3.5,2.5,3.5,3.5,"Machine Learning","Intermediate"
"161",0.5,0.5,0.5,0.5,1.5,"Machine Learning","Intermediate"
"162",0,1.5,0,0.5,0,"Machine Learning","Intermediate"
"163",0,0.5,1.5,0,0.5,"Machine Learning","Intermediate"
"164",1.5,4.5,1.5,3.5,1.5,"Machine Learning","Intermediate"
"165",2.5,2.5,2.5,0.5,1.5,"Machine Learning","Intermediate"
"166",1.5,1.5,0.5,0,1.5,"Machine Learning","Intermediate"
"167",1.5,1.5,1.5,1.5,1.5,"Machine Learning","Intermediate"
"168",1.5,1.5,1.5,2.5,1.5,"Machine Learning","Intermediate"
